,,,,,,,219-1216-v001,219-1216-v002,219-1216-v003,219-1216-v004,219-1216-v005,219-1216-v006,219-1216-v007,219-1216-v008,219-1216-v009,219-1216-v010,219-1216-v011,219-1205-v001,219-1205-v002,219-1203-v001,219-1203-v002,219-1203-v003,219-1203-v004,219-1203-v005,219-1203-v006,219-1203-v007,219-1203-v008,219-1128-v001,219-1128-v002,219-1128-v003,219-1128-v004,219-1128-v005,219-1128-v006,219-1128-v007,219-1128-v008,219-1128-v009,219-1128-v010
郡山りょう,立憲民主・社民・無所属,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025022.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
古賀千景,立憲民主・社民・無所属,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022019.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
古賀之士,立憲民主・社民・無所属,福岡,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016018.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
小島とも子,立憲民主・社民・無所属,三重,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025023.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
小西洋之,立憲民主・社民・無所属,千葉,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010024.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
斎藤嘉隆,立憲民主・社民・無所属,愛知,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010027.htm,False,3.2%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,投票なし,賛成,賛成
塩村あやか,立憲民主・社民・無所属,東京,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019020.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
柴愼一,立憲民主・社民・無所属,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022021.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
杉尾秀哉,立憲民主・社民・無所属,長野,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016023.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
高木真理,立憲民主・社民・無所属,埼玉,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022023.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
田島麻衣子,立憲民主・社民・無所属,愛知,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019024.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
田名部匡代,立憲民主・社民・無所属,青森,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016025.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
辻元清美,立憲民主・社民・無所属,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022025.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
徳永エリ,立憲民主・社民・無所属,北海道,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010036.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
長浜博行,立憲民主・社民・無所属,千葉,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007041.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
羽田次郎,立憲民主・社民・無所属,長野,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7021002.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
広田一,立憲民主・社民・無所属,徳島・高知,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7004050.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
福士珠美,立憲民主・社民・無所属,青森,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025052.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
福島みずほ,立憲民主・社民・無所属,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/5998049.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
牧山ひろえ,立憲民主・社民・無所属,神奈川,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007055.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
三上えり,立憲民主・社民・無所属,広島,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022037.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
水岡俊一,立憲民主・社民・無所属,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7004058.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
村田享子,立憲民主・社民・無所属,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022039.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
森ゆうこ,立憲民主・社民・無所属,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7001047.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
森本真治,立憲民主・社民・無所属,広島,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013054.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
山内佳菜子,立憲民主・社民・無所属,宮崎,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025059.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
横沢高徳,立憲民主・社民・無所属,岩手,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019040.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
吉川沙織,立憲民主・社民・無所属,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007071.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
吉田忠智,立憲民主・社民・無所属,大分,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010053.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
ラサール石井,立憲民主・社民・無所属,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025006.htm,False,32.3%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,投票なし,投票なし,投票なし,投票なし,投票なし,投票なし,投票なし,投票なし,投票なし,投票なし
蓮舫,立憲民主・社民・無所属,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7004060.htm,False,0.0%,反対,反対,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
足立康史,国民民主党・新緑風会,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025002.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
礒崎哲史,国民民主党・新緑風会,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013011.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
伊藤孝恵,国民民主党・新緑風会,愛知,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016006.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
伊藤辰夫,国民民主党・新緑風会,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025009.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
上田清司,国民民主党・新緑風会,埼玉,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019042.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
牛田茉友,国民民主党・新緑風会,東京,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025035.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
江原くみ子,国民民主党・新緑風会,埼玉,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025011.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
奥村祥大,国民民主党・新緑風会,東京,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025015.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
かごしま彰宏,国民民主党・新緑風会,神奈川,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025016.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
川合孝典,国民民主党・新緑風会,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007022.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
後藤斎,国民民主党・新緑風会,山梨,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025025.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
小林さやか,国民民主党・新緑風会,千葉,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025041.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
榛葉賀津也,国民民主党・新緑風会,静岡,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7001027.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
竹詰仁,国民民主党・新緑風会,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022024.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
田村まみ,国民民主党・新緑風会,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019025.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
堂込麻紀子,国民民主党・新緑風会,茨城,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022027.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
庭田幸恵,国民民主党・新緑風会,富山,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025044.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
芳賀道也,国民民主党・新緑風会,山形,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019032.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
浜口誠,国民民主党・新緑風会,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016032.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
浜野喜史,国民民主党・新緑風会,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013045.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
原田秀一,国民民主党・新緑風会,香川,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025048.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
平戸航太,国民民主党・新緑風会,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025051.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
舟山康江,国民民主党・新緑風会,山形,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007052.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
水野孝一,国民民主党・新緑風会,愛知,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025055.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
山田吉彦,国民民主党・新緑風会,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025060.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
秋野公造,公明党,福岡,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010003.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
石川博崇,公明党,大阪,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010006.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
伊藤孝江,公明党,兵庫,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016005.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
上田勇,公明党,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022006.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
川村雄大,公明党,東京,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025018.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
窪田哲也,公明党,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022017.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
佐々木雅文,公明党,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7025029.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
里見隆治,公明党,愛知,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016020.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
下野六太,公明党,福岡,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019021.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
杉久武,公明党,大阪,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013028.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
高橋光男,公明党,兵庫,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019027.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
竹内真二,公明党,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7017001.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
